nominalSnpCount,encodedPositions,individual,scale,weightZeroPoint,scoreOffset,equation1PRS,decodedBioethPRS,absoluteError,referenceEncodedScore,contractEncodedScore,encodedAgrees,decodedAgrees
100,101,0,3000000,28602,747156,0.003843,0.003843000000,0,758685,758685,true,true
100,101,1,3000000,28602,747156,0.005034,0.005034000000,0,762258,762258,true,true
100,101,2,3000000,28602,747156,0.049219,0.049219000000,0,894813,894813,true,true
100,101,3,3000000,28602,747156,0.005181,0.005181000000,0,762699,762699,true,true
100,101,4,3000000,28602,747156,-0.001829,-0.001829000000,0,741669,741669,true,true
100,101,5,3000000,28602,747156,0.012413,0.012413000000,0,784395,784395,true,true
100,101,6,3000000,28602,747156,0.048532,0.048532000000,0,892752,892752,true,true
100,101,7,3000000,28602,747156,0.045043,0.045043000000,0,882285,882285,true,true
100,101,8,3000000,28602,747156,-0.002464,-0.002464000000,0,739764,739764,true,true
100,101,9,3000000,28602,747156,-0.013107,-0.013107000000,0,707835,707835,true,true
100,101,10,3000000,28602,747156,0.052692,0.052692000000,0,905232,905232,true,true
100,101,11,3000000,28602,747156,-0.006992,-0.006992000000,0,726180,726180,true,true
100,101,12,3000000,28602,747156,-0.002356,-0.002356000000,0,740088,740088,true,true
100,101,13,3000000,28602,747156,-0.019872,-0.019872000000,0,687540,687540,true,true
100,101,14,3000000,28602,747156,0.065685,0.065685000000,0,944211,944211,true,true
100,101,15,3000000,28602,747156,-0.025202,-0.025202000000,0,671550,671550,true,true
100,101,16,3000000,28602,747156,-0.001184,-0.001184000000,0,743604,743604,true,true
100,101,17,3000000,28602,747156,0.012359,0.012359000000,0,784233,784233,true,true
100,101,18,3000000,28602,747156,-0.002588,-0.002588000000,0,739392,739392,true,true
100,101,19,3000000,28602,747156,-0.034027,-0.034027000000,0,645075,645075,true,true
100,101,20,3000000,28602,747156,-0.001136,-0.001136000000,0,743748,743748,true,true
100,101,21,3000000,28602,747156,-0.019479,-0.019479000000,0,688719,688719,true,true
100,101,22,3000000,28602,747156,0.043582,0.043582000000,0,877902,877902,true,true
100,101,23,3000000,28602,747156,-0.005644,-0.005644000000,0,730224,730224,true,true
100,101,24,3000000,28602,747156,-0.002779,-0.002779000000,0,738819,738819,true,true
100,101,25,3000000,28602,747156,-0.019659,-0.019659000000,0,688179,688179,true,true
100,101,26,3000000,28602,747156,-0.002637,-0.002637000000,0,739245,739245,true,true
100,101,27,3000000,28602,747156,0.060248,0.060248000000,0,927900,927900,true,true
100,101,28,3000000,28602,747156,0.016288,0.016288000000,0,796020,796020,true,true
100,101,29,3000000,28602,747156,0.002998,0.002998000000,0,756150,756150,true,true
100,101,30,3000000,28602,747156,0.016243,0.016243000000,0,795885,795885,true,true
100,101,31,3000000,28602,747156,-0.005906,-0.005906000000,0,729438,729438,true,true
100,101,32,3000000,28602,747156,-0.019818,-0.019818000000,0,687702,687702,true,true
100,101,33,3000000,28602,747156,0.010578,0.010578000000,0,778890,778890,true,true
100,101,34,3000000,28602,747156,0.030838,0.030838000000,0,839670,839670,true,true
100,101,35,3000000,28602,747156,-0.060836,-0.060836000000,0,564648,564648,true,true
